city,lat,lon,no2,Year
Lethbridge                                                                                          ,49.71621,-112.8006,6.02,2015
Medicine Hat                                                                                        ,50.04893,-110.68116,6.44,2015
Red Deer                                                                                            ,52.24095,-113.765439,8.09,2015
Red Deer                                                                                            ,52.29867,-113.79352,10.59,2015
Calgary                                                                                             ,51.0309,-114.0091,,2015
Calgary                                                                                             ,50.955122,-113.969742,13.48,2015
Calgary                                                                                             ,51.04701,-114.07564,,2015
Calgary                                                                                             ,51.079222,-114.141828,10.38,2015
Ardrossan                                                                                           ,53.554691,-113.144905,,2015
Edmonton                                                                                            ,53.564411,-113.562583,14.29,2015
Edmonton                                                                                            ,53.54445,-113.49884,16.4,2015
Edmonton                                                                                            ,53.54823,-113.36811,11.77,2015
Edmonton                                                                                            ,53.5001,-113.5261,10.35,2015
Swift Current                                                                                       ,50.285833,-107.81689,6.93,2015
Prince Albert                                                                                       ,53.201694,-105.75203,7.11,2015
Saskatoon                                                                                           ,52.13613,-106.66293,8.21,2015
Regina                                                                                              ,50.4527,-104.616,,2015
Brandon                                                                                             ,49.83918,-99.9206,3.63,2015
Winnipeg                                                                                            ,49.89799,-97.14653,8.72,2015
Winnipeg                                                                                            ,49.93207,-97.11317,5.26,2015
Chatham                                                                                             ,42.40369,-82.20831,6.55,2015
Belleville                                                                                          ,44.15053,-77.3955,4.76,2015
Port Stanley                                                                                        ,42.67208,-81.16289,2.87,2015
Parry Sound                                                                                         ,45.33786,-80.03817,3.16,2015
Newmarket                                                                                           ,44.04431,-79.48325,6.78,2015
Barrie                                                                                              ,44.382313889,-79.702430556,7.39,2015
Grand Bend                                                                                          ,43.333186111,-81.742822222,3.42,2015
Burlington                                                                                          ,43.314575,-79.802755556,10.38,2015
Simcoe                                                                                              ,42.85685,-80.26964,4.15,2015
Tiverton                                                                                            ,44.31447,-81.54972,2.4,2015
North Bay                                                                                           ,46.32323,-79.44928,5.6,2015
Guelph                                                                                              ,43.551636111,-80.264155556,6.33,2015
Oshawa                                                                                              ,43.94594,-78.89492,6.56,2015
Oakville                                                                                            ,43.48692,-79.70228,7.44,2015
Kitchener                                                                                           ,43.44383,-80.50381,6.74,2015
Brantford                                                                                           ,43.13861,-80.29264,5.49,2015
St. Catharines                                                                                      ,43.16006,-79.23475,7.33,2015
Cornwall                                                                                            ,45.0179806,-74.7353139,5.26,2015
Peterborough                                                                                        ,44.301833333,-78.346386111,5.14,2015
Sarnia                                                                                              ,42.98228,-82.40508,9.07,2015
London                                                                                              ,42.97446,-81.20086,6.54,2015
Thunder Bay                                                                                         ,48.37939,-89.29017,7.5,2015
Sault Ste. Marie                                                                                    ,46.53319,-84.30992,4.82,2015
Sudbury                                                                                             ,46.49194,-81.00311,7.19,2015
Hamilton                                                                                            ,43.25744,-79.90775,12.17,2015
Hamilton                                                                                            ,43.22942,-79.86278,9.02,2015
Hamilton                                                                                            ,43.25778,-79.86167,12.14,2015
Toronto                                                                                             ,43.610761,-79.52194,16.81,2015
Mississauga                                                                                         ,43.54697,-79.65869,9.17,2015
Toronto                                                                                             ,43.66417,-79.38722,13.35,2015
Toronto                                                                                             ,43.709444,-79.5435,16.53,2015
Brampton                                                                                            ,43.69875,-79.78092,9.91,2015
Toronto                                                                                             ,43.781584,-79.41773,12.91,2015
Toronto                                                                                             ,43.74792,-79.27406,13.88,2015
Kingston                                                                                            ,44.21987,-76.52113,4.37,2015
Windsor                                                                                             ,42.292889,-83.073139,11.36,2015
Windsor                                                                                             ,42.315778,-83.043667,12.18,2015
Ottawa                                                                                              ,45.38286,-75.71387,5.82,2015
Ottawa                                                                                              ,45.43433,-75.676,7.43,2015
Saint-Jean-Sur-Richelieu                                                                            ,45.29413,-73.34857,,2015
L'assomption                                                                                        ,45.80942,-73.43473,4.9,2015
Saint-Anicet                                                                                        ,45.120624,-74.2896,2.87,2015
Varennes                                                                                            ,45.722896,-73.376808,,2015
Quebec                                                                                              ,46.821177,-71.220495,8.69,2015
Gatineau                                                                                            ,45.435987,-75.723429,5.6,2015
Montréal                                                                                            ,45.5934,-73.63726,9.32,2015
Montréal                                                                                            ,45.54271,-73.57176,10.35,2015
Montréal                                                                                            ,45.60176,-73.541992,9.56,2015
Montréal                                                                                            ,45.651691,-73.573825,6.54,2015
Montréal                                                                                            ,45.468322,-73.741198,9.35,2015
Montréal                                                                                            ,45.426542,-73.928929,5.26,2015
Longueuil                                                                                           ,45.44298,-73.468631,5.6,2015
Longueuil                                                                                           ,45.52207,-73.4881,7.71,2015
Montréal                                                                                            ,45.47167,-73.57222,,2015
Montréal                                                                                            ,45.501531,-73.574311,15.18,2015
Laval                                                                                               ,45.547463,-73.7483166,7.34,2015
Montréal                                                                                            ,45.502648,-73.663913,14.54,2015
Montréal                                                                                            ,45.641026,-73.499682,,2015
Bathurst                                                                                            ,47.609693,-65.633509,,2015
Moncton                                                                                             ,46.101578,-64.789661,5.59,2015
Saint John                                                                                          ,45.291218,-66.00305,,2015
Saint John                                                                                          ,45.252898,-66.080065,4.95,2015
Saint John                                                                                          ,45.269677,-66.06151,4.95,2015
Saint John                                                                                          ,45.308762,-66.008384,2.68,2015
Fredericton                                                                                         ,45.957318,-66.646719,3.23,2015
Pictou                                                                                              ,45.68167,-62.69664,1.34,2015
Aylesford                                                                                           ,45.07267,-64.84033,,2015
Sydney                                                                                              ,46.14222,-60.17252,3.11,2015
Port Hawkesbury                                                                                     ,45.6141612,-61.3623563,2.19,2015
Halifax                                                                                             ,44.719799,-63.480754,1.38,2015
Halifax                                                                                             ,44.646425,-63.573383,10.22,2015
Southampton                                                                                         ,46.38635,-62.58272,0.26,2015
Wellington                                                                                          ,46.47843,-63.98763,0.78,2015
Charlottetown                                                                                       ,46.233,-63.13667,1.86,2015
Labrador City                                                                                       ,52.9518,-66.9156,,2015
Marystown                                                                                           ,47.09899,-55.19852,0.69,2015
Corner Brook                                                                                        ,48.95224,-57.92207,2.47,2015
Grand Falls-Windsor                                                                                 ,48.92696,-55.65966,0.99,2015
Mount Pearl                                                                                         ,47.50513,-52.79476,1.55,2015
St Johns                                                                                            ,47.56038,-52.71147,4.77,2015
Yellowknife                                                                                         ,62.45207,-114.364,1.9,2016
Norman Wells                                                                                        ,65.27926,-126.813057,2.24,2016
Inuvik                                                                                              ,68.35702037,-133.7140565,2.88,2016
Iqaluit                                                                                             ,63.751619,-68.522433,,2016
Fort Smith                                                                                          ,60.00455,-111.893241,0.73,2016
Warburg                                                                                             ,53.53,-114.6361,6.25,2016
St Johns                                                                                            ,47.56038,-52.71147,5.39,2016
Mount Pearl                                                                                         ,47.50513,-52.79476,1.49,2016
Grand Falls-Windsor                                                                                 ,48.92696,-55.65966,1.41,2016
Corner Brook                                                                                        ,48.95224,-57.92207,2.3,2016
Marystown                                                                                           ,47.09899,-55.19852,0.52,2016
Labrador City                                                                                       ,52.945487,-66.910306,3.08,2016
Charlottetown                                                                                       ,46.233,-63.13667,1.84,2016
Wellington                                                                                          ,46.47843,-63.98763,0.65,2016
Southampton                                                                                         ,46.38635,-62.58272,,2016
Halifax                                                                                             ,44.646425,-63.573383,8.85,2016
Halifax                                                                                             ,44.719799,-63.480754,1.23,2016
Port Hawkesbury                                                                                     ,45.6141612,-61.3623563,1.75,2016
Sydney                                                                                              ,46.14222,-60.17252,2.55,2016
Aylesford                                                                                           ,45.07267,-64.84033,0.18,2016
Pictou                                                                                              ,45.68167,-62.69664,0.72,2016
Kentville                                                                                           ,45.06725,-64.47743,0.8,2016
Fredericton                                                                                         ,45.957318,-66.646719,2.44,2016
Saint John                                                                                          ,45.308762,-66.008384,3.19,2016
Saint John                                                                                          ,45.269677,-66.06151,,2016
Saint John                                                                                          ,45.252898,-66.080065,3.35,2016
Saint John                                                                                          ,45.28028,-66.05611,,2016
Moncton                                                                                             ,46.101578,-64.789661,3.75,2016
Bathurst                                                                                            ,47.609693,-65.633509,1.58,2016
Montréal                                                                                            ,45.641026,-73.499682,8.35,2016
Montréal                                                                                            ,45.502648,-73.663913,13.92,2016
Laval                                                                                               ,45.547463,-73.7483166,6.83,2016
Longueuil                                                                                           ,45.52207,-73.4881,7.07,2016
Brossard                                                                                            ,45.448663,-73.480819,5.48,2016
Montréal                                                                                            ,45.426542,-73.928929,5.19,2016
Montréal                                                                                            ,45.468322,-73.741198,9.4,2016
Montréal                                                                                            ,45.651691,-73.573825,6.21,2016
Montréal                                                                                            ,45.60176,-73.541992,9.25,2016
Montréal                                                                                            ,45.54271,-73.57176,9.54,2016
Montréal                                                                                            ,45.5934,-73.63726,9.35,2016
Montréal                                                                                            ,45.512189,-73.566842,11.09,2016
Terrebonne                                                                                          ,45.70476,-73.65776,,2016
Montréal                                                                                            ,45.464611,-73.582583,11.64,2016
Gatineau                                                                                            ,45.435987,-75.723429,5.88,2016
Quebec                                                                                              ,46.821177,-71.220495,8.08,2016
Varennes                                                                                            ,45.722896,-73.376808,,2016
Saint-Anicet                                                                                        ,45.120624,-74.2896,2.55,2016
L'assomption                                                                                        ,45.80942,-73.43473,4.65,2016
Saint-Jean-Sur-Richelieu                                                                            ,45.29413,-73.34857,3.08,2016
Lévis                                                                                               ,46.806029,-71.167506,4.99,2016
Ottawa                                                                                              ,45.43433,-75.676,6.93,2016
Ottawa                                                                                              ,45.38286,-75.71387,5.62,2016
Windsor                                                                                             ,42.315778,-83.043667,11.44,2016
Windsor                                                                                             ,42.292889,-83.073139,10.6,2016
Kingston                                                                                            ,44.21987,-76.52113,4.4,2016
Toronto                                                                                             ,43.74792,-79.27406,12.05,2016
Toronto                                                                                             ,43.781584,-79.41773,11.96,2016
Brampton                                                                                            ,43.69875,-79.78092,9.71,2016
Toronto                                                                                             ,43.709444,-79.5435,15.7,2016
Toronto                                                                                             ,43.66417,-79.38722,13.32,2016
Mississauga                                                                                         ,43.54697,-79.65869,8.6,2016
Toronto                                                                                             ,43.610761,-79.52194,14.69,2016
Toronto                                                                                             ,43.711105556,-79.543425,19.03,2016
Hamilton                                                                                            ,43.25778,-79.86167,11.94,2016
Hamilton                                                                                            ,43.22942,-79.86278,7.95,2016
Hamilton                                                                                            ,43.25744,-79.90775,11.83,2016
Sudbury                                                                                             ,46.49194,-81.00311,6.93,2016
Sault Ste. Marie                                                                                    ,46.53319,-84.30992,4.05,2016
Thunder Bay                                                                                         ,48.37939,-89.29017,7.14,2016
London                                                                                              ,42.97446,-81.20086,5.44,2016
Sarnia                                                                                              ,42.990263,-82.395341,,2016
Peterborough                                                                                        ,44.301833333,-78.346386111,4.52,2016
Cornwall                                                                                            ,45.0179806,-74.7353139,5.54,2016
St. Catharines                                                                                      ,43.16006,-79.23475,6.59,2016
Brantford                                                                                           ,43.13861,-80.29264,4.85,2016
Kitchener                                                                                           ,43.44383,-80.50381,6.16,2016
Oakville                                                                                            ,43.48692,-79.70228,8.23,2016
Oshawa                                                                                              ,43.94594,-78.89492,6.31,2016
Guelph                                                                                              ,43.551636111,-80.264155556,6.22,2016
North Bay                                                                                           ,46.32323,-79.44928,4.73,2016
Tiverton                                                                                            ,44.31447,-81.54972,1.79,2016
Simcoe                                                                                              ,42.85685,-80.26964,3.7,2016
Burlington                                                                                          ,43.314575,-79.802755556,10.21,2016
Grand Bend                                                                                          ,43.333186111,-81.742822222,2.75,2016
Barrie                                                                                              ,44.382313889,-79.702430556,8.13,2016
Newmarket                                                                                           ,44.04431,-79.48325,6.48,2016
Parry Sound                                                                                         ,45.33786,-80.03817,2.91,2016
Port Stanley                                                                                        ,42.67208,-81.16289,2.82,2016
Belleville                                                                                          ,44.15053,-77.3955,5.06,2016
Chatham                                                                                             ,42.40369,-82.20831,5.39,2016
Winnipeg                                                                                            ,49.89799,-97.14653,8.02,2016
Brandon                                                                                             ,49.83918,-99.9206,4.17,2016
Regina                                                                                              ,50.4527,-104.616,7.34,2016
Saskatoon                                                                                           ,52.13613,-106.66293,8.9,2016
Prince Albert                                                                                       ,53.201694,-105.75203,5.96,2016
Swift Current                                                                                       ,50.285833,-107.81689,5.95,2016
Edmonton                                                                                            ,53.5001,-113.5261,9.67,2016
Edmonton                                                                                            ,53.54823,-113.36811,11.19,2016
Edmonton                                                                                            ,53.54445,-113.49884,14.94,2016
Edmonton                                                                                            ,53.564411,-113.562583,12.19,2016
Sherwood Park                                                                                       ,53.532092,-113.320983,9.49,2016
Ardrossan                                                                                           ,53.554691,-113.144905,6.03,2016
St. Albert                                                                                          ,53.626908,-113.611883,,2016
Calgary                                                                                             ,51.079222,-114.141828,9.47,2016
Calgary                                                                                             ,50.955122,-113.969742,12.2,2016
Calgary                                                                                             ,51.0309,-114.0091,14.96,2016
Red Deer                                                                                            ,52.29867,-113.79352,9.36,2016
Red Deer                                                                                            ,52.24095,-113.765439,6.5,2016
Medicine Hat                                                                                        ,50.04893,-110.68116,5.64,2016
Lethbridge                                                                                          ,49.71621,-112.8006,5.13,2016
Fort Saskatchewan                                                                                   ,53.69874,-113.22285,7.97,2016
Fort Saskatchewan                                                                                   ,53.75236,-113.12589,5.65,2016
Fort Saskatchewan                                                                                   ,53.71622,-113.19994,6.19,2016
Bruderheim                                                                                          ,53.7999878,-112.92781,,2016
Bruderheim                                                                                          ,53.805629,-112.925851,,2016
Fort Mcmurray                                                                                       ,56.73341,-111.39047,7.5,2016
Fort Mcmurray                                                                                       ,56.75139,-111.47662,5.57,2016
Fort Mckay                                                                                          ,57.18941,-111.6405,6.75,2016
Fort Mckay                                                                                          ,57.1492,-111.6424,5.86,2016
Wapasu                                                                                              ,57.26176,-111.037,2.28,2016
Conklin                                                                                             ,55.621408,-111.17269,,2016
Elk Island                                                                                          ,53.68238,-112.86812,2.83,2016
Tomahawk                                                                                            ,53.37255,-114.76835,3.92,2016
Violet Grove                                                                                        ,53.14222,-115.13806,4.11,2016
Beaverlodge                                                                                         ,55.19634,-119.39682,3.48,2016
Carrot Creek                                                                                        ,53.621062,-115.869155,4.48,2016
Steeper                                                                                             ,53.1325,-117.09111,1.49,2016
Fort Chipewyan                                                                                      ,58.70879,-111.17683,1.05,2016
Caroline                                                                                            ,51.94687,-114.69744,3.19,2016
Grande Prairie                                                                                      ,55.1766,-118.8078,9.12,2016
Lamont                                                                                              ,53.76036,-112.88017,3.69,2016
Redwater                                                                                            ,53.84369,-113.09922,8.85,2016
Bretton                                                                                             ,53.0903,-114.46061,3.87,2016
Edson                                                                                               ,53.593771,-116.395822,6.76,2016
Genesee                                                                                             ,53.3016,-114.2211,4.08,2016
Hinton                                                                                              ,53.427301,-117.544067,6.82,2016
Thorsby                                                                                             ,53.633,-114.4199,2.61,2016
Sunnybrook                                                                                          ,53.4243,-114.3749,,2016
Cold Lake                                                                                           ,54.414013889,-110.232938889,3.49,2016
St Lina                                                                                             ,54.2165,-111.5026,1.61,2016
Anzac                                                                                               ,56.44928,-111.03722,2.27,2016
New Westminster                                                                                     ,49.227045,-122.894487,15.23,2016
Burnaby                                                                                             ,49.279214,-122.970707,11.02,2016
Port Moody                                                                                          ,49.280893,-122.849291,12.05,2016
Vancouver                                                                                           ,49.282272,-123.12188,18.54,2016
Burnaby                                                                                             ,49.21519,-122.985666,12.23,2016
North Vancouver                                                                                     ,49.301472,-123.020417,12,2016
Delta                                                                                               ,49.158348,-122.90173,12.39,2016
Burnaby                                                                                             ,49.279809,-122.922267,6.63,2016
Surrey                                                                                              ,49.132928,-122.694224,8.17,2016
Richmond                                                                                            ,49.141437,-123.108215,11.66,2016
North Vancouver                                                                                     ,49.323994,-123.083496,10.92,2016
Richmond                                                                                            ,49.186265,-123.152422,14.25,2016
Coquitlam                                                                                           ,49.288265,-122.79157,9.39,2016
Delta                                                                                               ,49.009877,-123.081997,6.32,2016
Vancouver                                                                                           ,49.260267,-123.077776,20.76,2016
Agassiz                                                                                             ,49.238008,-121.762264,7.75,2016
Prince George                                                                                       ,53.91472,-122.74194,8.89,2016
Victoria                                                                                            ,48.441942,-123.363165,8.5,2016
Victoria                                                                                            ,48.42369,-123.49432,4.76,2016
Kamloops                                                                                            ,50.67477,-120.334016,10.08,2016
Kelowna                                                                                             ,49.862336,-119.477367,6.82,2016
Abbotsford                                                                                          ,49.04258,-122.30982,7.88,2016
Abbotsford                                                                                          ,49.021554,-122.326523,6.46,2016
Chilliwack                                                                                          ,49.155848,-121.940279,7.79,2016
Pitt Meadows                                                                                        ,49.245233,-122.70889,7.3,2016
Langley                                                                                             ,49.09561,-122.567104,5.5,2016
Hope                                                                                                ,49.369887,-121.49912,5.81,2016
Maple Ridge                                                                                         ,49.21494,-122.582057,7.4,2016
Squamish                                                                                            ,49.70516,-123.15133,5.96,2016
Quesnel                                                                                             ,52.981686,-122.493227,7.59,2016
Nanaimo                                                                                             ,49.20083,-123.99389,6.32,2016
Powell River                                                                                        ,49.866905,-124.521819,1.95,2016
Smithers                                                                                            ,54.783308,-127.177324,4.97,2016
Terrace                                                                                             ,54.52167,-128.6075,2.15,2016
Williams Lake                                                                                       ,52.14428,-122.150391,5.71,2016
Castlegar                                                                                           ,49.317698,-117.661527,,2016
Mission                                                                                             ,49.14149,-122.311078,6.44,2016
Vernon                                                                                              ,50.260617,-119.270723,,2016
Duncan                                                                                              ,48.784854,-123.715846,4.52,2016
Whistler                                                                                            ,50.144285,-122.960402,3.86,2016
Longdale                                                                                            ,49.438848,-123.479185,5.35,2016
Fort Saint John                                                                                     ,56.24473,-120.8561,,2016
Ucluelet                                                                                            ,48.921799,-125.541209,,2016
Courtenay                                                                                           ,49.682603,-124.996222,4.05,2016
Whitehorse                                                                                          ,60.71972,-135.05875,,2016
Smithers                                                                                            ,54.783308,-127.177324,5.4,2017
Terrace                                                                                             ,54.52167,-128.6075,2.6,2017
Williams Lake                                                                                       ,52.14428,-122.150391,5.81,2017
Castlegar                                                                                           ,49.317698,-117.661527,6.44,2017
Mission                                                                                             ,49.14149,-122.311078,6.89,2017
Vernon                                                                                              ,50.260617,-119.270723,10.39,2017
Duncan                                                                                              ,48.784854,-123.715846,4.37,2017
Whistler                                                                                            ,50.144285,-122.960402,4.38,2017
Longdale                                                                                            ,49.438848,-123.479185,5.55,2017
Fort Saint John                                                                                     ,56.24473,-120.8561,6.24,2017
Ucluelet                                                                                            ,48.921799,-125.541209,,2017
Courtenay                                                                                           ,49.682603,-124.996222,4.61,2017
Whitehorse                                                                                          ,60.71972,-135.05875,,2017
Yellowknife                                                                                         ,62.45207,-114.364,3.53,2017
Norman Wells                                                                                        ,65.27926,-126.813057,2.57,2017
Inuvik                                                                                              ,68.35702,-133.714057,,2017
Iqaluit                                                                                             ,63.751619,-68.522433,6.44,2017
Fort Smith                                                                                          ,60.00455,-111.893241,1.32,2017
Powell River                                                                                        ,49.866905,-124.521819,,2017
Nanaimo                                                                                             ,49.20083,-123.99389,6.69,2017
Quesnel                                                                                             ,52.981686,-122.493227,7.48,2017
Squamish                                                                                            ,49.70516,-123.15133,6.08,2017
Metro Van - Maple Ridge                                                                             ,49.21494,-122.582057,8.56,2017
Metro Van-Hope                                                                                      ,49.369887,-121.49912,5.04,2017
Metro Van-Langley                                                                                   ,49.09561,-122.567104,6.13,2017
Metro Van-Pitt Meadows                                                                              ,49.245233,-122.70889,9.47,2017
Metro Van-Chilliwack                                                                                ,49.155848,-121.940279,8.22,2017
Metro Van - Abbotsford                                                                              ,49.021554,-122.326523,7.69,2017
Metro Van - Abbotsford                                                                              ,49.04258,-122.30982,9.14,2017
Kelowna                                                                                             ,49.862336,-119.477367,7.63,2017
Kamloops                                                                                            ,50.67477,-120.334016,11.28,2017
Victoria                                                                                            ,48.42369,-123.49432,4.91,2017
Victoria                                                                                            ,48.441942,-123.363165,8.19,2017
Prince George                                                                                       ,53.91472,-122.74194,,2017
Agassiz                                                                                             ,49.238008,-121.762264,7.67,2017
Metro Van - Vancouver                                                                               ,49.260267,-123.077776,22.07,2017
Metro Van - Delta                                                                                   ,49.009877,-123.081997,7.13,2017
Metro Van - Coquitlam                                                                               ,49.288265,-122.79157,,2017
Metro Van - Richmond                                                                                ,49.186265,-123.152422,15.89,2017
Metro Van - North Vancouver                                                                         ,49.323994,-123.083496,12.69,2017
Metro Van - Richmond                                                                                ,49.141437,-123.108215,13.01,2017
Metro Van - Surrey                                                                                  ,49.132928,-122.694224,9.3,2017
Metro Van - Burnaby                                                                                 ,49.279809,-122.922267,7.45,2017
Metro Van - Delta                                                                                   ,49.158348,-122.90173,14.14,2017
Metro Van - North Vancouver                                                                         ,49.301472,-123.020417,13.28,2017
Metro Van - Burnaby                                                                                 ,49.21519,-122.985666,13.44,2017
Metro Van - Vancouver                                                                               ,49.282272,-123.12188,19.07,2017
Metro Van - Port Moody                                                                              ,49.280893,-122.849291,13.55,2017
Metro Van - Burnaby                                                                                 ,49.279214,-122.970707,12.22,2017
Metro Van - New Westminster                                                                         ,49.227045,-122.894487,17.35,2017
Anzac                                                                                               ,56.44928,-111.03722,2.01,2017
St Lina                                                                                             ,54.2165,-111.5026,1.32,2017
Cold Lake                                                                                           ,54.414014,-110.232939,3.57,2017
Sunnybrook                                                                                          ,53.4243,-114.3749,3.89,2017
Thorsby                                                                                             ,53.633,-114.4199,2.16,2017
Warburg                                                                                             ,53.53,-114.6361,5.66,2017
Hinton                                                                                              ,53.427301,-117.544067,4.91,2017
Genesee                                                                                             ,53.3016,-114.2211,3.56,2017
Edson                                                                                               ,53.593771,-116.395822,5.13,2017
Bretton                                                                                             ,53.0903,-114.46061,2.61,2017
Lamont                                                                                              ,53.76036,-112.88017,3.75,2017
Grande Prairie                                                                                      ,55.1766,-118.8078,9.82,2017
Caroline                                                                                            ,51.94687,-114.69744,2.16,2017
Fort Chipewyan                                                                                      ,58.70879,-111.17683,0.8,2017
Steeper                                                                                             ,53.1325,-117.09111,1.12,2017
Carrot Creek                                                                                        ,53.621062,-115.869155,3.53,2017
Beaverlodge                                                                                         ,55.19634,-119.39682,3.37,2017
Violet Grove                                                                                        ,53.14222,-115.13806,2.79,2017
Tomahawk                                                                                            ,53.37255,-114.76835,2.66,2017
Elk Island                                                                                          ,53.68238,-112.86812,3.21,2017
Conklin                                                                                             ,55.621408,-111.17269,1.16,2017
Wapasu                                                                                              ,57.26176,-111.037,2.7,2017
Fort Mackay                                                                                         ,57.1492,-111.6424,6.58,2017
Fort Mackay                                                                                         ,57.18941,-111.6405,7.15,2017
Fort Mcmurray                                                                                       ,56.75139,-111.47662,4.82,2017
Fort Mcmurray                                                                                       ,56.73341,-111.39047,7.38,2017
Bruderheim                                                                                          ,53.805629,-112.925851,6.2,2017
Redwater                                                                                            ,53.95183,-113.105857,,2017
Gibbons                                                                                             ,53.827241,-113.327174,6.66,2017
Fort Saskatchewan                                                                                   ,53.71622,-113.19994,6.84,2017
Fort Saskatchewan                                                                                   ,53.75236,-113.12589,6.58,2017
