NAPS_ID,City,P_T,Location,Latitude,Longitude,Elevation,Classification,ID,Minimum,10th_Percentile,30th_Percentile,50th_Percentile,70th_Percentile,80th_Percentile,90th_Percentile,95th_Percentile,98th_Percentile,99th_Percentile,99.9th_Percentile,Maximum,Percent_Completeness,January,February,March,April,May,June,July,August,September,October,November,December,Mean,Standard_Deviation,Year
30118,Halifax,NS,1649 Barrington Street,44.646425,-63.573383,18,"PE,LU,P4,R",DMean,2,2.3,3.9,5.9,7.1,7.6,8.1,9.9,9.9,9.9,9.9,9.9,3.01369863,,,,,,,,,,,,,,,2018
30120,Halifax,NS,341 Cherrybrook Road,44.719799,-63.480754,68,"PE,LU,P2,F",DMean,0,0.2,0.6,1,1.5,1.8,2.3,2.8,3.7,4.3,5.3,5.3,97.534246575,1.4,1.6,0.7,1.2,1.2,1.1,1.2,1.4,0.6,1,1,1.7,1.19,0.880781727,2018
30201,Port Hawkesbury,NS,23 Embree Street,45.614161,-61.362356,14,"PS,SU,P2,R",DMean,0,0.6,1.1,1.7,2.6,3.5,5.6,7.4,9.6,11.7,17.7,17.7,97.260273973,3,2.7,2,3.3,2.6,1.6,1.3,1.6,1.5,2.9,2.9,4.4,2.49,2.350330698,2018
30310,Sydney,NS,71 Welton Street,46.14222,-60.17252,27,"PE,SU,P3,R",DMean,0.1,1.1,1.6,2.1,2.9,3.6,4.7,6.4,8,9,10.5,10.5,98.630136986,3.5,3.5,2.4,2.8,2.2,1.8,1.6,1.9,2.3,3.2,2.7,3.5,2.6,1.70292184,2018
30901,Pictou,NS,91 Beeches Road,45.68167,-62.69664,12,"PE,SU,P2,R",DMean,0,0.3,0.7,1,1.3,1.6,2.2,2.8,3.5,4.1,5.8,5.8,96.164383562,1.3,1.5,0.5,1.2,0.8,0.9,1.2,1.1,1,1,1.2,2.2,1.15,0.817216891,2018
31101,Kentville,NS,32 Main Street,45.06725,-64.47743,60,"PE,SU,P3,A",DMean,0,0.2,0.5,0.7,1,1.2,1.5,2,3,3.5,5.1,5.1,98.630136986,1.2,0.8,0.5,0.6,0.8,0.6,0.7,0.9,0.8,0.7,1.2,1.2,0.84,0.68140743,2018
40104,Fredericton,NB,486 Needham Street,45.957289,-66.645236,10,"PE,MU,P3,R",DMean,0,0,0.4,1,1.8,2.5,4.7,7.4,10.3,12.7,17.5,17.5,99.726027397,3.6,3.7,0.7,0.4,0.3,0.2,0.5,1.5,1.6,2.1,3.4,4,1.82,2.52502259,2018
40203,Saint John,NB,Mountain Road,45.308762,-66.008384,41,"PS,MU,P3,R",DMean,0,0.3,1,1.9,2.9,3.7,5.5,6.5,7.7,8,10.5,10.5,100,3.2,3.7,1,2,2.2,2.4,3.6,3,1.8,2.1,1.4,2.3,2.39,1.987233173,2018
40207,Saint John,NB,476 Lancaster Avenue W.,45.252898,-66.080065,59,"PS,MU,P3,R",DMean,0,0.4,1.4,2.1,3.4,4.3,5.8,7.3,8.9,10.1,16,16,96.712328767,4.4,3.6,1.5,1.5,2,2.8,2.7,1.9,1.9,2.5,3.1,5.5,2.74,2.284609675,2018
40209,Saint John,NB,8 Castle Street,45.28028,-66.05611,41,"PE,MU,P3,R",DMean,0,1.1,2.4,3.4,4.7,5.5,7.4,9,10.9,11.9,15.2,15.2,100,3.8,4.6,2.5,4.1,4.6,3.6,4.3,4.5,3.8,3.3,3.7,4.3,3.93,2.568088783,2018
40302,Moncton,NB,5 Thanet Street,46.101578,-64.789661,9,"T,LU,P4,R",DMean,0,0.9,1.7,2.4,3.7,4.8,7.1,10.5,11.9,15.2,19.7,19.7,100,4.8,6.3,2.9,2.9,1.9,1.5,1.5,2.3,2.9,3.2,4.6,6,3.38,3.011439092,2018
41302,Bathurst,NB,1255 Rough Waters Drive,47.609693,-65.633509,16,"PE,SU,P2,R",DMean,0,0.2,0.6,0.9,1.4,1.8,2.5,3.5,4.8,5.4,6,6,100,1.9,1.8,1.2,1,0.7,0.6,0.9,0.9,0.8,0.9,1.6,2.4,1.22,1.084494476,2018
41501,Edmundston,NB,19 Queen St.,47.363195,-68.322302,159,"PS,SU,P2,R",DMean,0.4,1.5,2.7,3.8,5.2,6.4,8.5,10.9,14.8,16.2,18.4,18.4,100,8,7.2,4,5.1,3.8,2.8,2.5,3.2,3.4,3.1,4.1,7,4.52,3.053307397,2018
50103,Montreal,QC,"1050 A, Boul. Saint-Jean-Baptiste",45.641026,-73.499682,19,"PE,LU,P4,R",DMean,1.3,3.9,5.6,7.6,10.1,11.7,15.1,17.6,23.6,25.5,32.2,32.2,97.534246575,13.2,14,7.2,7.6,8.6,7.5,8.1,7.6,6.4,6.3,8.7,9.7,8.71,4.829878494,2018
50109,Montreal,QC,"2495 Duncan / Decarie, Mt-Royal",45.502648,-73.663913,41,"T,LU,P6,I",DMean,2.7,6,9.1,12.2,16.1,18.7,24.1,27.7,32.9,34.6,42.5,42.5,98.904109589,21.4,21.4,13.4,13.5,13.3,11.1,10.5,11.1,9.2,10.6,13.8,17.5,13.82,7.090356372,2018
50113,Laval,QC,1160 Boul Pie-Ix,45.547463,-73.748317,35,"PE,LU,P6,R",DMean,0.8,2.2,3.7,5.4,8.7,11.4,16.4,21,24.3,31.4,39.4,39.4,98.630136986,14.3,13.6,7.4,5.5,5.9,4.3,4,5,5.8,5.6,8.6,11.8,7.57,6.144851762,2018
50119,Longueuil,QC,Face Au 1819 Rue Victoria,45.52207,-73.4881,32,"PE,LU,P6,R",DMean,1.4,3.2,4.8,6.3,8.6,11.1,14.2,17.8,21.7,24.8,30.4,30.4,96.438356164,12.5,13,8.1,6.5,7.6,6.1,4.9,5.4,5.5,5.4,8.4,10.6,7.74,4.841487494,2018
50122,Brossard,QC,En Face Du 8400 Avenue Sorbonne,45.448663,-73.480819,17,"PE,LU,P5,R",DMean,1,2.5,3.8,4.8,6.2,8.4,12.1,14.3,18.4,19.9,24.6,24.6,95.068493151,9.8,9.5,6.4,4.4,5.2,4.6,4,4.3,4.4,5,6.7,8.5,6.05,4.051041289,2018
50126,Montreal,QC,20965 Ch. Sainte-Marie,45.426542,-73.928929,39,"PE,LU,P3,R",DMean,0.4,1.3,2.9,4.5,6.9,9.3,12.3,16.2,21.2,24.2,30.6,30.6,74.520547945,10.1,8.6,4,4.1,4.8,3.5,4,,,,6.6,9.2,,,2018
50128,Montreal,QC,"90-A Rue Herve-Saint-Martin, Dorval",45.468322,-73.741198,33,"PE,LU,P3,C",DMean,1.2,3.7,5.6,7.7,10.5,13.5,19.6,22.8,26.5,29.7,33.4,33.4,96.98630137,14.8,16,10.5,7.3,8,5.7,6.1,7.1,7.6,7.4,10.8,15.3,9.58,6.243846736,2018
50129,Montreal,QC,12400 Wilfrid-Ouellette (R-D-P),45.651691,-73.573825,29,"PE,LU,P4,R",DMean,1.2,2.4,3.8,5.2,7.5,9.3,13.4,16.1,20.5,22.8,29.6,29.6,93.97260274,10.8,11.9,5.1,5.2,5.4,4.8,4.9,5.8,5.5,4.8,7.4,8.5,6.61,4.633410889,2018
50133,Montreal,QC,"8200a Rue Chenier, Arena Chenier",45.60176,-73.541992,41,"PE,LU,P6,R",DMean,2,3.9,5.4,7.3,10.2,12.3,16.2,20.9,23.9,25.7,29.2,29.2,97.260273973,13.9,14.2,8.1,6.9,7.6,6.3,6.2,7.5,6.6,7.1,9.6,12.1,8.86,5.325600115,2018
50134,Montreal,QC,2580 Saint-Joseph Est,45.54271,-73.57176,53,"PE,LU,P6,I",DMean,2.6,4.9,6.9,8.4,11.6,14.8,19,23.3,25.7,28.9,33.1,33.1,98.356164384,16.5,16.6,10.4,8.3,8.6,7,7.2,8.2,8.2,8.4,11.5,14.1,10.38,5.731485861,2018
50135,Montreal,QC,4240 Rue Charleroi,45.5934,-73.63726,41,"PE,LU,P6,R",DMean,2.3,4,5.6,7.2,10.3,13.1,18.1,21.6,25.2,28.5,36,36,98.356164384,16.2,16.1,8.9,7.3,7.3,5.4,5.6,6.5,6.9,7,11.1,14.2,9.31,5.870338621,2018
50136,Montreal,QC,75 Rue Ontario Est,45.512189,-73.566842,32,"PE,LU,P6,R",DMean,3.4,5.7,7.7,9.6,12.4,15.2,20.7,24.6,27.1,28.8,38.5,38.5,96.98630137,19.2,17.4,12.5,9.1,9.1,7.4,7.6,8.1,8.6,9.3,12.3,15.5,11.36,5.934284373,2018
50137,Terrebonne,QC,Rues Vaillant Et De Grand-Champ,45.70476,-73.65776,34,"PE,LU,P4,R",DMean,0.7,1.6,2.7,3.7,5.9,7.4,10.1,14.2,16.5,19.6,27.3,27.3,98.630136986,8.8,8.8,3.8,3.5,3.8,3,3.5,4.4,4.3,4.1,5.8,7.9,5.13,3.944684635,2018
50138,Montreal,QC,1540 Roberval,45.464611,-73.582583,25,"T,LU,P6,R",DMean,2.6,4.8,7.1,9.3,12,14.5,18.5,23.3,26.1,28.8,32.8,32.8,98.082191781,17.1,16.2,12.8,9.1,8.2,7.3,6.4,7,7,9.3,12.7,15,10.62,5.687594261,2018
50204,Gatineau,QC,"255 St-Redempteur, Hull",45.435987,-75.723429,62,"PE,LU,P5,R",DMean,0.6,1.6,2.9,4,6.2,8.5,11.7,13.8,18.4,21.7,30.1,30.1,99.452054795,9.9,11,4,4.3,4.2,3.4,3.2,3,3.5,4.3,7.1,9,5.54,4.416623587,2018
50308,Quebec,QC,600 Rue Des Sables,46.821177,-71.220495,8,"PE,LU,P6,R",DMean,1.4,3.1,5.2,7.2,9.9,11.8,15.7,21.7,27.4,30.3,37.9,37.9,96.712328767,13.8,14.7,7.7,8.3,7.1,5.4,5.4,5.3,6.5,7.7,9.9,12.8,8.73,5.968180127,2018
50310,Quebec,QC,1150 Boul. Rene-Levesque O.,46.794873,-71.246387,69,"PE,LU,P5,R",DMean,18.3,18.3,18.3,18.3,18.3,18.3,18.3,18.3,18.3,18.3,18.3,18.3,0.273972603,,,,,,,,,,,,,,,2018
50311,Quebec,QC,"1465, Rue Felix-Antoine-Savard",46.774167,-71.369722,26,"PE,LU,P4,R",DMean,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,0.273972603,,,,,,,,,,,,,,,2018
54401,Saint-Anicet,QC,1128 De La Guerre,45.120624,-74.2896,50,"RB,NU,P2,A",DMean,0.3,0.8,1.4,1.9,2.7,3.2,4.8,6.9,11,12,16.6,16.6,89.863013699,4.8,3.1,1.6,,2.3,2.5,2.4,1.8,1.7,2,2.2,3.8,2.53,2.266966797,2018
55301,Saint-Jean-Sur-Richelieu,QC,"Ferme Exp., 1134 Route 219",45.29413,-73.34857,35,"RB,SU,P2,A",DMean,0.4,1.1,1.9,2.6,3.5,4.3,5.7,7.3,9.6,10.1,14.4,14.4,95.890410959,4.4,3.8,2.2,1.5,2.4,4.6,3.8,3.1,2.2,2.2,3.2,3.6,3.1,2.113591951,2018
55702,Lévis,QC,200 Rue Des Commandeurs,46.806029,-71.167506,106,"PE,LU,P3,R",DMean,0.6,1.8,3.2,4.4,6,7.3,9.8,13.5,15.2,21.5,23.8,23.8,96.712328767,8,8.6,3.5,4.9,4.3,4.3,3.8,3.8,4.4,4.2,5.2,8.9,5.31,3.701181177,2018
60104,Ottawa,ON,Rideau & Wurtemburg,45.43433,-75.676,68,"PE,LU,P6,R",DMean,1.5,2.7,4,5.2,7.8,11.7,15,17.8,23,26,31,31,100,13.3,14.3,6.2,6.6,5.4,4.1,3.8,3.9,4,5.2,9.3,11.5,7.26,5.30526232,2018
60204,Windsor,ON,467 University Ave. West,42.315778,-83.043667,176,"T,LU,P4,R",DMean,1.8,5.2,7.9,10.2,12.5,14.6,18.5,21.6,24.3,25.5,26.1,26.1,94.520547945,16.9,15.2,11.8,11.8,9.8,7.3,6.9,7.9,7.6,9.7,11.3,15.1,11.01,5.175411245,2018
60211,Windsor,ON,College & South St. / 928 South St.,42.292889,-83.073139,180,"T,LU,P3,R",DMean,1.5,4.2,6.1,7.7,10,12.1,15.1,18.5,20.8,22.5,25.2,25.2,100,12.5,12,9.1,8.9,7.4,5.8,5.7,6,7.1,8.3,9.9,12.7,8.76,4.477926855,2018
60304,Kingston,ON,Near 23 Beechgrove Lane,44.21987,-76.52113,84,"PE,LU,P3,R",DMean,0.8,1.7,2.4,3.4,4.8,6,8.1,9.8,12.6,15.1,20.9,20.9,100,8.4,6.8,3.6,4.1,3.4,2.7,2.4,2.8,2.6,3.3,4.7,5.9,4.21,2.858535328,2018
60410,Toronto,ON,Lawrence & Kennedy,43.74792,-79.27406,168,"T,LU,P6,I",DMean,1.7,5.1,7.2,9.4,12,15,18.5,21.5,24,26.7,28.2,28.2,99.726027397,15.7,15.9,9.1,10.9,9.3,7.7,7.8,7.8,6.8,9.4,12.1,14.4,10.55,5.235785805,2018
60430,Toronto,ON,125 Resources Road,43.709444,-79.5435,141,"PE,LU,P6,C",DMean,3,7.5,10.8,13.4,17,19.9,22.7,24.3,29.3,30.8,39.2,39.2,99.726027397,20,20.6,13.6,15.7,14.3,11,10.6,10.9,9.7,12.7,16.2,18.1,14.42,5.953768031,2018
60433,Toronto,ON,Bay/Wellesey St.,43.66417,-79.38722,105,"T,LU,P6,R",DMean,3.6,6.3,8.6,11,13.9,15.8,18.2,21.3,23.9,25.2,27.8,27.8,100,15.3,15.9,10.9,12,12.3,9.9,9.3,9.3,8.3,10.9,12.7,14.5,11.75,4.806171843,2018
60434,Mississauga,ON,3359 Mississauga Road,43.54697,-79.65869,105,"PE,LU,P5,C",DMean,1.1,3,4.8,6.4,8.6,10,12.7,14.5,18.5,21.4,26.2,26.2,99.452054795,10.7,10.6,6.7,7.1,7.3,5.8,5.4,5.3,5,6.1,8.3,9,7.25,4.012123495,2018
60435,Toronto,ON,461 Kipling Avenue,43.610761,-79.52194,92,"PS,LU,P5,I",DMean,3.6,7.8,11.3,14.2,17.4,19.3,22.2,25.5,28.6,29.3,37.3,37.3,99.452054795,18.8,19.4,13.4,16.1,16.3,13.3,12.6,12.1,10.2,13.1,14.7,17.4,14.75,5.694231856,2018
60438,Toronto,ON,401w - 125 Resources Rd.,43.711106,-79.543425,139,"T,LU,P6,C",DMean,4.1,10.2,14.3,18.3,22.2,24.6,27,30.4,32.1,34.1,38.8,38.8,97.808219178,22.4,22.6,19.6,22.6,19.3,15.5,15,16.2,12.9,17.3,20,20.3,18.53,6.628451835,2018
60440,Toronto,ON,4905 Dufferin Street,43.78042,-79.46752,,"PE,LU,P6,I",DMean,1.8,4.4,6.7,8.8,12,15.1,19.1,22.1,24.2,25.8,30.2,30.2,98.356164384,16.4,13.9,7.2,10.7,9.8,6.9,7.5,7.3,6.5,10.4,13.2,14.9,10.38,5.638203336,2018
60450,Brampton,ON,109 Mclaughlin Rd. S.,43.669567,-79.76567,217,"PE,LU,P5,C",DMean,1.1,2.7,4.5,6.5,9.7,12.1,15.6,19.6,23.6,26.7,32.5,32.5,100,11.4,11.4,7.8,8.5,7.9,6.3,5.2,5.1,6.1,7.5,9.6,11.1,8.12,5.537114695,2018
60512,Hamilton,ON,Elgin & Kelly,43.25778,-79.86167,90,"PS,LU,P5,R",DMean,1.9,5,7.7,10.6,14,16.1,20.1,23.8,27.7,29.4,35,35,100,13.8,13.5,10.9,11.8,15.9,11,8.9,7.2,9.2,10.1,13,14.2,11.63,6.019037514,2018
60513,Hamilton,ON,Vickers Rd. & East 18th. St.,43.22942,-79.86278,209,"PS,LU,P6,R",DMean,1.3,3,4.9,6.9,9.2,10.8,13.2,17,21.1,23.4,28,28,100,9.7,10.1,8.1,8,10.1,6.8,5.2,4.9,5.5,6.4,8.7,9.7,7.75,4.511595898,2018
60515,Hamilton,ON,Main St. & Hwy 403,43.25744,-79.90775,96,"PE,LU,P5,R",DMean,1.8,5,7.5,9.6,12.9,14.7,19.1,22,25.9,28.3,34.3,34.3,100,12.9,12.8,12.2,12.1,14.2,10.2,8.6,7,8.3,8.8,12.2,12.8,11.01,5.565796051,2018
60610,Sudbury,ON,155 Elm Street,46.49194,-81.00311,271,"PS,LU,P3,R",DMean,1.4,2.5,3.5,4.9,7,9.9,12.5,15.8,20.2,24.2,27.7,27.7,99.178082192,10.2,12.5,6,7.6,4.9,3.5,3.6,3.9,4.1,4.6,7.1,10.5,6.47,4.584619692,2018
60709,Sault Ste. Marie,ON,"443 Northern Ave., Sault College",46.53319,-84.30992,244,"PS,MU,P3,C",DMean,0.6,1.7,2.7,3.7,5.1,6.3,8.5,10.3,11.5,12.2,13.9,13.9,99.726027397,7.4,7.3,4.4,5,4.5,2.8,2.9,2.6,2.4,3.1,4.3,5.9,4.38,2.712950453,2018
60809,Thunder Bay,ON,421 James Street South,48.37939,-89.29017,192,"PE,LU,P3,R",DMean,1.4,3,4.6,6.2,8.4,10.6,14.1,18,19,22.8,28.5,28.5,98.630136986,11.6,13.3,11,9.4,6.6,4.7,4.5,4,3.8,5.1,6.6,9.2,7.48,4.619346863,2018
60904,London,ON,42 St. Julien Street,42.97446,-81.20086,244,"PE,LU,P4,R",DMean,0.9,2.7,3.7,4.6,6.1,7.3,9.1,11.6,13.9,15.5,18.5,18.5,99.178082192,7.4,7.2,4.5,5.9,5.5,4.1,4.3,3.4,3.5,4.9,6,8.4,5.41,2.796931045,2018
61007,Sarnia,ON,1300 Tashmoo Ave./ Lasalle Line,42.912545,-82.416816,180,"RB,NU,P2,R",DMean,1.7,3,4.2,5.3,6.7,7.9,9.6,11.4,13.2,13.7,18.8,18.8,99.178082192,8.4,8.2,5,5.3,7.4,6,5.4,4.4,3.9,4.8,5.1,7,5.9,2.746180729,2018
61009,Sarnia,ON,700 Christina St. N.,42.990263,-82.395341,182,"PE,MU,P4,R",DMean,0.4,2.6,4.4,6.7,9,10.9,14.5,17.3,18.9,20.2,25.7,25.7,100,11.2,10.6,4.6,7.1,8.8,5.7,6.5,6.2,5.2,7.2,7.3,10.6,7.57,4.720053086,2018
61104,Peterborough,ON,10 Hospital Drive,44.301833,-78.346386,226,"PE,MU,P4,R",DMean,0.1,1.2,2.4,3.3,5,6.5,10.4,12.2,15.2,15.6,18.4,18.4,99.726027397,8.4,8,2.5,3.5,3.6,2.5,2.6,2.9,2.8,4,6,6.9,4.47,3.524835067,2018
61201,Cornwall,ON,Bedford & Third St.,45.017981,-74.735314,55,"PE,MU,P3,R",DMean,0.8,1.7,2.4,3.2,5.1,7.3,11.4,14.2,20.7,24.3,24.7,24.7,99.726027397,9.7,8.2,5.5,3.2,3.3,2.8,2.2,2.5,3,4,6.2,10.1,5.05,4.516742664,2018
61302,St. Catharines,ON,62 Argyle Crescent/ Pump Stn.,43.16006,-79.23475,105,"PE,LU,P4,R",DMean,1.6,2.8,3.9,5.2,7,8,10.2,12.1,15,17,20.9,20.9,99.178082192,7.6,7.5,5.8,6.7,5.8,4.8,4,3.9,4.2,4.9,7.6,9.3,5.99,3.268796702,2018
61402,Brantford,ON,324 Grand River Ave.,43.13861,-80.29264,205,"PE,MU,P4,I",DMean,1,2.3,3.4,4.5,6.1,7,8.8,10.7,14.5,15.6,19.3,19.3,100,7.4,6.7,5,4.6,5.1,4.8,4,3.6,3.7,3.9,5.7,7.6,5.17,2.915604152,2018
61502,Kitchener,ON,West Ave. & Homewood,43.44383,-80.50381,325,"PE,LU,P5,R",DMean,1,2.3,3.5,4.7,6.6,8.1,10.6,13.2,15.7,18.6,26.5,26.5,97.808219178,9.9,8.4,4.3,5.8,5.1,4,3.5,3.5,3.8,5.5,7.2,8.7,5.83,3.710582224,2018
61603,Oakville,ON,"8th Line And Glenashton Dr., Halton Reservoir",43.48692,-79.70228,165,"PE,LU,P4,R",DMean,1.5,3.5,5.4,7.6,10.1,11.7,13.5,18.3,23.8,26,29.2,29.2,100,11.4,12.5,7.3,7.7,8.7,6.7,6.6,6.3,7.5,7.4,9.1,11.3,8.51,4.861870134,2018
61703,Oshawa,ON,"Britannia Ave W, Uofontario Property",43.95222,-78.9125,162,"PE,LU,P3,F",DMean,0.3,1.3,2.2,3.1,4.3,5.1,7.4,9.8,12.6,13,13.7,13.7,89.315068493,,7.3,3,3.8,4.8,3.1,2.9,2.7,2.3,3.2,4,5.4,3.8,2.648738115,2018
61802,Guelph,ON,Exhibition Park & Clark St. W.,43.551636,-80.264156,330,"PE,LU,P4,R",DMean,1,2.5,3.5,4.7,6.4,8.2,10.9,13.3,16.4,19.5,25.5,25.5,100,9.9,9.4,4.6,6,5.2,4,3.8,3.7,4,5.2,6.7,8.2,5.86,3.709968342,2018
62001,North Bay,ON,540 Chippewa St. W./Dept. Of National Defence,46.32323,-79.44928,219,"PE,MU,P3,R",DMean,1,1.6,2.5,3.6,5.2,7.1,10.2,13.5,17.2,19.6,23,23,100,7.8,10.7,3.9,5.8,4.2,3,2.8,2.8,3,3,5.3,7.4,4.94,3.985694598,2018
62601,Simcoe,ON,Experimental Farm,42.85685,-80.26964,236,"RB,SU,P2,A",DMean,0.4,1.1,1.9,2.6,3.3,4.1,5.6,6.4,7.9,9.2,13.9,13.9,100,4.1,4,2.1,2.1,3.5,2.5,2.1,1.4,2,2.7,3.6,5.4,2.96,1.850489569,2018
63001,Burlington,ON,"North Shore Blvd E. And Lakeshore Rd.,",43.314575,-79.802756,78,"PE,LU,P3,C",DMean,0.8,4.9,6.7,9,11,12.2,14.8,16.6,21.3,24,31.5,31.5,99.726027397,11.8,12.3,7.8,8.9,9.7,7.7,8.4,8.6,7.4,9.2,9.7,11.1,9.37,4.290925431,2018
63701,Grand Bend,ON,Point Blake Conservation Area,43.333186,-81.742822,185,"RB,SU,P2,R",DMean,0.7,1.2,2,2.8,3.7,4.5,5.8,7.1,9.4,11.1,14.4,14.4,98.904109589,5.5,4.9,2,2.5,3.9,2.6,3.2,2.8,2,2.4,2.7,4.5,3.25,2.0748931,2018
65001,Barrie,ON,83 Perry Street,44.382314,-79.702431,226,"PE,LU,P4,R",DMean,0.8,2.6,4,5.3,7.3,9.2,12.1,13.5,16.4,18.9,22.8,22.8,98.356164384,9,7.6,4.9,6.6,5.8,4.9,5,4.9,4.6,6.4,8.5,9,6.39,3.746745692,2018
65101,Newmarket,ON,Eagle St. & Mccaffrey Rd.,44.04431,-79.48325,268,"PE,LU,P4,R",DMean,1.2,2.2,3.6,5,6.8,8.7,11.8,14.5,18.6,19.6,22.7,22.7,100,10.3,8.8,4.4,5.6,5.3,5,4.4,4.2,4.4,4.9,7,9.1,6.1,4.019434025,2018
65201,Parry Sound,ON,7 Bay Street,45.33786,-80.03817,176,"PE,SU,P2,W",DMean,0.5,1,1.7,2.3,3.3,4.1,5.4,6.6,7.8,10.8,11.5,11.5,99.452054795,4.3,5,2.2,2.7,2.8,2.5,2.6,2.2,2.1,2,2.5,3.6,2.85,1.907626418,2018
65301,Port Stanley,ON,43665 Dexter Line,42.67208,-81.16289,212,"RB,NU,P2,A",DMean,0.4,1.3,1.8,2.4,3.3,4,5.1,6.2,7.3,10.5,12,12,99.726027397,3.9,3.8,2,2.5,3.8,3.3,2.9,1.8,1.5,1.9,2.8,4.8,2.91,1.749470104,2018
65401,Belleville,ON,2 Sidney Street,44.15053,-77.3955,75,"PE,MU,P3,W",DMean,0.5,1.4,2.2,3,4,5.2,7,9.1,11.7,12.7,16,16,99.726027397,6.2,5.9,2.3,3,3.1,3,2.7,2.7,2.6,3.1,4.2,6.1,3.74,2.604044467,2018
65801,Chatham,ON,435 Grand Avenue W.,42.40369,-82.20831,179,"PE,MU,P3,R",DMean,-0.2,1.8,2.9,4.3,5.9,7.1,9.8,12.2,15.3,15.9,17.7,17.7,99.726027397,9.3,8.6,5.8,5,4.3,2.7,2.8,2.7,2.5,4.1,4.8,8.2,5.07,3.36331996,2018
70118,Winnipeg,MB,299 Scotia St.,49.93207,-97.11317,227,"PE,LU,P5,R",DMean,0.1,1.5,2,2.6,3.4,4.4,7.1,10.8,13.6,14.8,16.2,16.2,89.04109589,0.7,2.2,3.2,2.9,3.2,,2,2.7,4.3,2.8,3.9,9.7,3.5,2.91301028,2018
70119,Winnipeg,MB,65 Ellen Street,49.89799,-97.14653,229,"PE,LU,P6,R",DMean,1.8,4,6,7.7,10,11.7,14.1,16.3,21.3,24.5,34,34,100,11.6,12.7,12.7,8,6.7,5.7,4.3,6.4,6.7,7.9,9.5,11.1,8.58,4.438968451,2018
